-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_RANGE,2000,36.0,29.375,2.32,2.05,2.29,1.74,2.05,2.38,3.07,2.3,2.21,1.86,1.42,1.8,2.13
T2M_RANGE,2000,36.0,30.0,2.65,2.25,2.47,2.06,2.48,3.37,3.3,3.05,2.66,2.22,1.62,1.96,2.51
T2M_RANGE,2000,36.0,30.625,2.61,2.21,2.49,1.85,2.17,2.77,2.82,2.71,2.07,2.04,1.71,1.84,2.28
T2M_RANGE,2000,36.0,31.25,2.45,1.78,1.64,1.02,0.97,1.57,1.49,1.48,1.18,1.32,1.12,1.68,1.48
T2M_RANGE,2000,36.0,31.875,2.31,1.7,1.36,1.3,0.92,1.43,1.31,1.18,1.09,1.27,1.12,1.36,1.36
T2M_RANGE,2000,36.0,32.5,3.63,3.35,3.31,3.29,3.72,4.88,4.91,4.48,4.03,3.59,3.4,2.78,3.78
T2M_RANGE,2000,36.0,33.125,3.98,3.84,4.23,3.78,4.71,6.12,5.8,4.82,4.7,4.04,4.03,3.34,4.45
T2M_RANGE,2000,36.0,33.75,2.91,2.05,2.07,1.98,2.18,2.71,2.31,1.95,2.02,1.7,1.51,1.9,2.11
T2M_RANGE,2000,36.0,34.375,2.41,1.74,1.86,1.5,1.44,1.82,1.86,1.64,1.83,1.28,1.35,1.57,1.69
T2M_RANGE,2000,36.0,35.0,2.22,1.82,1.84,1.65,1.28,1.62,1.71,1.63,1.59,1.46,1.75,1.81,1.7
T2M_RANGE,2000,36.0,35.625,2.9,3.36,3.16,3.98,3.2,3.82,3.84,3.01,3.09,3.2,3.95,3.35,3.4
T2M_RANGE,2000,36.0,36.25,8.99,10.88,11.05,11.57,12.95,15.09,16.95,13.79,12.65,11.08,12.65,10.14,12.32
T2M_RANGE,2000,36.0,36.875,10.93,13.04,14.08,14.17,16.91,18.72,20.77,17.63,16.45,13.52,14.34,11.02,15.13
T2M_RANGE,2000,36.0,37.5,10.36,12.71,14.05,13.7,16.0,17.45,19.59,16.14,15.06,12.13,13.05,10.72,14.25
