-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,36.0,29.375,2.38,3.28,1.66,1.44,0.43,0.05,0.0,0.02,0.01,0.88,4.46,2.46,1.41
PRECTOTCORR,2000,36.0,30.0,2.51,2.61,1.8,1.43,0.84,0.03,0.0,0.05,0.02,1.22,6.61,3.25,1.69
PRECTOTCORR,2000,36.0,30.625,1.85,1.79,1.57,1.66,0.71,0.02,0.0,0.07,0.05,1.11,5.92,2.92,1.47
PRECTOTCORR,2000,36.0,31.25,1.97,1.56,1.71,2.54,0.88,0.11,0.0,0.12,0.2,1.73,5.79,3.0,1.63
PRECTOTCORR,2000,36.0,31.875,2.31,1.76,1.81,2.87,1.04,0.13,0.0,0.13,0.24,2.0,5.87,3.15,1.77
PRECTOTCORR,2000,36.0,32.5,4.42,2.99,1.76,3.71,1.34,0.05,0.0,0.03,0.22,2.48,4.34,3.0,2.02
PRECTOTCORR,2000,36.0,33.125,4.93,3.31,1.71,3.85,1.46,0.02,0.0,0.01,0.16,2.4,4.01,2.97,2.06
PRECTOTCORR,2000,36.0,33.75,4.4,2.9,1.54,2.17,1.04,0.03,0.0,0.01,0.18,1.76,4.09,2.03,1.67
PRECTOTCORR,2000,36.0,34.375,3.67,2.33,1.33,2.2,0.76,0.05,0.0,0.07,0.38,2.54,3.06,1.76,1.51
PRECTOTCORR,2000,36.0,35.0,4.82,2.89,1.45,2.62,0.58,0.1,0.0,0.39,0.71,2.41,2.44,3.01,1.78
PRECTOTCORR,2000,36.0,35.625,5.78,3.4,1.51,2.74,0.37,0.36,0.0,0.61,0.97,1.89,1.67,3.92,1.93
PRECTOTCORR,2000,36.0,36.25,4.57,2.78,1.27,2.01,0.18,0.97,0.0,0.38,0.72,0.99,0.84,2.8,1.46
PRECTOTCORR,2000,36.0,36.875,3.21,1.58,1.51,1.27,0.14,0.34,0.01,0.14,0.36,0.6,1.05,2.41,1.05
PRECTOTCORR,2000,36.0,37.5,2.88,1.3,1.45,1.17,0.15,0.18,0.02,0.12,0.29,0.55,1.05,2.29,0.96
PRECTOTCORR,2000,36.5,29.375,2.8,4.45,2.29,1.65,0.81,0.2,0.02,0.06,0.01,0.87,4.54,2.77,1.69
PRECTOTCORR,2000,36.5,30.0,2.28,2.47,2.1,2.29,1.59,0.08,0.01,0.2,0.02,1.28,6.83,4.05,1.93
PRECTOTCORR,2000,36.5,30.625,2.16,2.19,2.02,2.55,1.61,0.07,0.01,0.21,0.03,1.33,6.63,4.01,1.9
PRECTOTCORR,2000,36.5,31.25,3.38,2.65,2.08,4.26,2.02,0.05,0.0,0.2,0.08,2.19,5.79,4.37,2.25
PRECTOTCORR,2000,36.5,31.875,4.04,3.07,2.23,4.98,2.35,0.04,0.0,0.21,0.07,2.48,5.73,4.77,2.49
PRECTOTCORR,2000,36.5,32.5,5.43,3.7,1.97,5.0,1.92,0.06,0.0,0.04,0.12,2.87,4.5,3.86,2.45
PRECTOTCORR,2000,36.5,33.125,5.29,3.57,1.84,3.74,1.63,0.07,0.0,0.02,0.13,2.38,4.34,2.9,2.15
PRECTOTCORR,2000,36.5,33.75,5.13,3.49,1.82,2.8,1.44,0.09,0.0,0.03,0.17,2.01,4.48,2.28,1.97
PRECTOTCORR,2000,36.5,34.375,5.06,3.49,1.82,2.5,1.37,0.11,0.0,0.04,0.25,1.95,4.37,1.95,1.9
PRECTOTCORR,2000,36.5,35.0,4.79,3.53,1.6,3.3,1.19,0.3,0.0,0.33,0.71,2.05,2.49,2.08,1.86
PRECTOTCORR,2000,36.5,35.625,4.53,3.4,1.37,3.52,0.76,0.59,0.0,0.74,1.1,1.81,0.8,2.43,1.75
PRECTOTCORR,2000,36.5,36.25,4.17,2.89,1.39,2.71,0.44,0.53,0.0,0.76,0.94,1.39,0.77,2.59,1.54
PRECTOTCORR,2000,36.5,36.875,3.81,2.3,1.52,1.87,0.23,0.3,0.01,0.55,0.65,0.99,1.02,2.7,1.33
PRECTOTCORR,2000,36.5,37.5,3.39,1.7,1.62,1.26,0.2,0.07,0.05,0.14,0.31,0.63,1.28,2.57,1.1
PRECTOTCORR,2000,37.0,29.375,2.83,4.24,2.48,2.31,1.07,0.45,0.05,0.13,0.02,0.82,4.1,2.93,1.77
PRECTOTCORR,2000,37.0,30.0,2.04,2.47,2.07,2.54,1.74,0.26,0.02,0.22,0.07,1.14,5.47,3.45,1.78
PRECTOTCORR,2000,37.0,30.625,1.92,2.13,2.11,3.1,2.13,0.18,0.01,0.29,0.07,1.32,5.86,3.97,1.92
PRECTOTCORR,2000,37.0,31.25,2.89,2.47,2.09,4.17,2.38,0.14,0.0,0.26,0.09,1.94,5.35,4.22,2.16
PRECTOTCORR,2000,37.0,31.875,4.55,3.23,1.96,4.98,2.29,0.12,0.0,0.12,0.09,2.67,4.48,4.1,2.38
PRECTOTCORR,2000,37.0,32.5,5.12,3.5,1.88,4.96,2.17,0.14,0.0,0.07,0.1,2.81,4.07,3.76,2.38
PRECTOTCORR,2000,37.0,33.125,4.66,3.14,1.66,3.42,1.87,0.23,0.0,0.07,0.12,2.15,3.59,2.6,1.95
PRECTOTCORR,2000,37.0,33.75,4.41,3.02,1.59,2.57,1.7,0.3,0.0,0.08,0.15,1.73,3.35,1.95,1.73
PRECTOTCORR,2000,37.0,34.375,4.32,3.09,1.58,2.43,1.65,0.34,0.0,0.09,0.24,1.61,2.99,1.57,1.65
PRECTOTCORR,2000,37.0,35.0,4.28,3.5,1.53,3.83,1.67,0.28,0.0,0.22,0.69,2.05,1.75,1.42,1.76
PRECTOTCORR,2000,37.0,35.625,4.33,3.67,1.49,4.51,1.35,0.2,0.0,0.6,1.17,2.29,0.79,1.77,1.84
PRECTOTCORR,2000,37.0,36.25,4.54,3.28,1.49,3.4,0.8,0.17,0.0,0.72,1.09,1.87,0.9,2.38,1.72
PRECTOTCORR,2000,37.0,36.875,4.65,2.78,1.52,2.18,0.35,0.06,0.01,0.6,0.82,1.38,1.24,2.87,1.54
PRECTOTCORR,2000,37.0,37.5,4.37,2.18,1.41,1.39,0.24,0.01,0.06,0.13,0.34,0.94,1.62,2.95,1.3
PRECTOTCORR,2000,37.5,29.375,2.44,3.84,2.54,2.87,1.23,0.78,0.1,0.19,0.06,0.63,2.69,2.28,1.63
PRECTOTCORR,2000,37.5,30.0,1.84,2.72,2.12,2.77,1.66,0.59,0.07,0.21,0.13,0.85,3.2,2.32,1.53
PRECTOTCORR,2000,37.5,30.625,1.69,1.96,1.8,3.01,2.14,0.42,0.02,0.25,0.19,1.24,3.63,2.66,1.58
PRECTOTCORR,2000,37.5,31.25,2.1,1.96,1.7,3.37,2.29,0.35,0.01,0.23,0.19,1.57,3.61,2.87,1.68
PRECTOTCORR,2000,37.5,31.875,2.93,2.24,1.56,3.66,2.25,0.31,0.0,0.16,0.16,1.96,3.3,2.91,1.78
PRECTOTCORR,2000,37.5,32.5,3.21,2.25,1.35,3.44,2.16,0.33,0.0,0.12,0.13,2.0,2.81,2.59,1.7
PRECTOTCORR,2000,37.5,33.125,3.2,2.13,1.18,2.99,2.07,0.37,0.0,0.11,0.11,1.85,2.37,2.15,1.54
PRECTOTCORR,2000,37.5,33.75,3.04,2.06,1.12,2.11,1.87,0.57,0.0,0.13,0.12,1.3,1.59,1.39,1.27
PRECTOTCORR,2000,37.5,34.375,3.12,2.22,1.14,2.1,1.77,0.68,0.0,0.14,0.2,1.17,0.99,0.96,1.2
PRECTOTCORR,2000,37.5,35.0,3.5,2.75,1.29,3.3,1.8,0.55,0.0,0.14,0.48,1.65,0.7,0.9,1.42
PRECTOTCORR,2000,37.5,35.625,4.06,3.25,1.47,4.15,1.68,0.36,0.0,0.22,0.81,2.06,0.64,1.17,1.65
PRECTOTCORR,2000,37.5,36.25,5.0,3.19,1.59,3.02,1.0,0.18,0.0,0.29,0.86,1.79,1.08,2.16,1.68
PRECTOTCORR,2000,37.5,36.875,5.75,2.83,1.57,1.38,0.29,0.02,0.02,0.15,0.64,1.27,1.73,3.14,1.57
PRECTOTCORR,2000,37.5,37.5,5.0,2.34,1.36,1.18,0.28,0.01,0.04,0.07,0.44,1.19,1.67,2.95,1.38
PRECTOTCORR,2000,38.0,29.375,1.91,3.1,2.49,3.09,1.41,0.8,0.13,0.22,0.16,0.58,1.5,1.63,1.41
PRECTOTCORR,2000,38.0,30.0,1.62,2.53,2.16,2.87,1.67,0.72,0.1,0.2,0.24,0.71,1.54,1.56,1.32
PRECTOTCORR,2000,38.0,30.625,1.39,1.71,1.58,2.41,2.02,0.64,0.03,0.21,0.32,0.99,1.76,1.6,1.22
PRECTOTCORR,2000,38.0,31.25,1.45,1.49,1.34,2.34,2.12,0.59,0.01,0.2,0.31,1.16,1.81,1.62,1.2
PRECTOTCORR,2000,38.0,31.875,1.64,1.36,1.04,2.2,2.12,0.52,0.0,0.17,0.23,1.31,1.78,1.63,1.17
PRECTOTCORR,2000,38.0,32.5,1.74,1.22,0.8,1.97,2.08,0.52,0.0,0.15,0.17,1.31,1.48,1.38,1.07
PRECTOTCORR,2000,38.0,33.125,1.69,1.08,0.64,1.59,2.03,0.57,0.0,0.15,0.12,1.16,1.11,1.07,0.93
PRECTOTCORR,2000,38.0,33.75,2.06,1.31,0.74,1.34,1.93,0.81,0.0,0.17,0.07,0.88,0.55,0.86,0.89
PRECTOTCORR,2000,38.0,34.375,2.51,1.57,0.89,1.46,1.76,1.02,0.0,0.16,0.07,0.83,0.23,0.71,0.93
PRECTOTCORR,2000,38.0,35.0,2.93,1.9,1.1,2.19,1.68,0.91,0.0,0.19,0.25,1.11,0.25,0.78,1.11
PRECTOTCORR,2000,38.0,35.625,3.48,2.25,1.33,2.76,1.53,0.73,0.0,0.25,0.47,1.38,0.38,1.05,1.3
PRECTOTCORR,2000,38.0,36.25,4.82,2.63,1.61,2.23,1.02,0.4,0.0,0.25,0.7,1.45,0.92,1.96,1.5
PRECTOTCORR,2000,38.0,36.875,5.58,2.74,1.67,1.29,0.46,0.11,0.0,0.17,0.77,1.42,1.36,2.68,1.52
PRECTOTCORR,2000,38.0,37.5,4.66,2.32,1.4,1.08,0.42,0.06,0.01,0.11,0.62,1.43,1.23,2.47,1.32
PRECTOTCORR,2000,38.5,29.375,1.85,3.0,2.92,3.52,1.34,0.63,0.17,0.24,0.21,0.54,0.89,1.53,1.4
PRECTOTCORR,2000,38.5,30.0,1.72,2.4,2.48,2.99,1.67,0.66,0.14,0.25,0.33,0.68,0.8,1.6,1.31
PRECTOTCORR,2000,38.5,30.625,1.63,1.85,1.92,2.29,1.89,0.73,0.08,0.25,0.42,0.82,0.8,1.58,1.19
PRECTOTCORR,2000,38.5,31.25,1.51,1.44,1.43,1.87,1.98,0.75,0.04,0.24,0.4,0.91,0.85,1.47,1.07
PRECTOTCORR,2000,38.5,31.875,1.48,1.29,1.25,1.72,2.01,0.74,0.03,0.24,0.39,0.95,0.86,1.42,1.03
PRECTOTCORR,2000,38.5,32.5,1.36,0.92,0.69,1.48,2.02,0.69,0.01,0.2,0.2,1.01,0.78,1.03,0.87
PRECTOTCORR,2000,38.5,33.125,1.44,0.87,0.51,1.34,2.06,0.74,0.0,0.19,0.12,0.98,0.61,0.86,0.81
PRECTOTCORR,2000,38.5,33.75,1.86,1.22,0.63,1.35,2.19,0.91,0.0,0.18,0.06,0.93,0.3,0.82,0.87
PRECTOTCORR,2000,38.5,34.375,2.3,1.48,0.86,1.49,2.1,1.09,0.0,0.22,0.05,0.87,0.1,0.77,0.94
PRECTOTCORR,2000,38.5,35.0,2.52,1.51,1.07,1.82,1.89,1.07,0.0,0.32,0.14,0.87,0.11,0.82,1.01
PRECTOTCORR,2000,38.5,35.625,2.84,1.55,1.28,2.07,1.65,0.95,0.0,0.41,0.28,0.89,0.22,1.04,1.1
PRECTOTCORR,2000,38.5,36.25,3.77,1.86,1.41,1.92,1.29,0.72,0.0,0.4,0.5,1.04,0.56,1.59,1.26
PRECTOTCORR,2000,38.5,36.875,4.35,2.14,1.43,1.57,0.86,0.46,0.0,0.29,0.68,1.31,0.81,1.96,1.32
PRECTOTCORR,2000,38.5,37.5,3.55,1.93,1.21,1.35,0.74,0.28,0.0,0.21,0.63,1.51,0.67,1.76,1.15
PRECTOTCORR,2001,36.0,29.375,5.64,3.18,0.2,2.98,0.69,0.0,0.01,0.11,0.04,1.07,10.86,11.26,3.0
PRECTOTCORR,2001,36.0,30.0,6.22,3.63,0.16,3.2,0.65,0.0,0.02,0.07,0.01,1.54,14.51,14.68,3.72
PRECTOTCORR,2001,36.0,30.625,5.7,2.99,0.23,2.47,0.91,0.0,0.01,0.06,0.03,1.51,13.82,13.02,3.39
PRECTOTCORR,2001,36.0,31.25,5.2,3.1,0.36,1.76,1.49,0.0,0.0,0.04,0.19,1.83,11.38,14.59,3.33
PRECTOTCORR,2001,36.0,31.875,5.03,3.33,0.38,1.69,1.66,0.0,0.0,0.04,0.25,1.94,10.77,15.52,3.39
PRECTOTCORR,2001,36.0,32.5,1.74,4.24,0.38,0.94,2.01,0.0,0.0,0.02,0.29,1.37,9.75,15.06,2.98
PRECTOTCORR,2001,36.0,33.125,1.04,4.27,0.39,0.8,2.08,0.0,0.0,0.01,0.27,1.14,9.83,15.16,2.91
PRECTOTCORR,2001,36.0,33.75,0.82,3.89,0.73,0.7,2.26,0.0,0.0,0.04,0.08,0.89,6.1,13.3,2.4
PRECTOTCORR,2001,36.0,34.375,0.84,3.74,0.97,0.66,2.69,0.0,0.0,0.24,0.27,1.26,4.64,13.25,2.38
PRECTOTCORR,2001,36.0,35.0,1.12,5.18,1.25,0.88,3.0,0.0,0.0,0.32,0.47,2.49,4.36,12.71,2.64
PRECTOTCORR,2001,36.0,35.625,1.37,6.47,1.41,1.1,3.12,0.01,0.0,0.46,0.61,3.48,3.83,11.28,2.75
PRECTOTCORR,2001,36.0,36.25,1.2,5.32,1.12,1.1,2.83,0.02,0.01,0.69,0.46,2.43,2.54,7.76,2.11
PRECTOTCORR,2001,36.0,36.875,0.82,3.53,1.05,1.2,1.97,0.01,0.0,0.22,0.17,1.6,1.69,4.76,1.41
PRECTOTCORR,2001,36.0,37.5,0.71,3.02,1.06,1.18,1.77,0.01,0.0,0.12,0.14,1.31,1.47,4.07,1.23
PRECTOTCORR,2001,36.5,29.375,5.56,3.29,0.24,3.48,0.8,0.01,0.03,0.28,0.02,0.98,10.93,12.04,3.13
PRECTOTCORR,2001,36.5,30.0,7.41,2.72,0.21,3.33,1.36,0.01,0.03,0.07,0.05,1.57,16.5,15.64,4.08
PRECTOTCORR,2001,36.5,30.625,7.17,2.58,0.23,3.02,1.54,0.01,0.03,0.05,0.08,1.54,16.58,15.42,4.02
PRECTOTCORR,2001,36.5,31.25,5.57,3.08,0.22,2.1,2.16,0.01,0.01,0.02,0.26,1.67,16.39,17.11,4.05
PRECTOTCORR,2001,36.5,31.875,5.18,3.2,0.19,2.01,2.4,0.0,0.01,0.01,0.32,1.7,17.43,18.01,4.21
PRECTOTCORR,2001,36.5,32.5,1.67,4.54,0.27,1.06,2.3,0.0,0.0,0.01,0.39,1.43,13.06,17.48,3.51
PRECTOTCORR,2001,36.5,33.125,0.92,4.51,0.55,0.86,2.48,0.0,0.01,0.01,0.23,1.11,9.9,15.89,3.03
PRECTOTCORR,2001,36.5,33.75,0.75,4.46,0.82,0.84,2.72,0.0,0.01,0.04,0.13,0.96,7.77,14.93,2.78
PRECTOTCORR,2001,36.5,34.375,0.67,4.45,1.03,0.84,2.99,0.0,0.01,0.1,0.13,0.93,6.6,14.42,2.67
PRECTOTCORR,2001,36.5,35.0,0.73,4.65,1.38,0.95,3.52,0.02,0.01,0.43,0.5,1.28,4.82,11.34,2.46
PRECTOTCORR,2001,36.5,35.625,0.88,5.17,1.71,1.25,3.9,0.04,0.01,0.67,0.83,1.62,3.2,7.95,2.26
PRECTOTCORR,2001,36.5,36.25,0.93,4.99,1.78,1.5,3.51,0.04,0.01,0.49,0.72,1.53,2.75,6.61,2.06
PRECTOTCORR,2001,36.5,36.875,0.94,4.32,1.79,1.67,2.83,0.03,0.01,0.24,0.46,1.43,2.27,5.68,1.79
