-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,37.5,37.5,-0.67,1.19,5.41,13.14,17.81,24.57,31.0,28.04,23.02,15.25,10.12,3.61,14.41
T2M,2000,37.5,38.125,1.42,2.88,7.08,15.26,20.28,26.86,33.03,30.19,25.09,17.16,11.47,5.02,16.35
T2M,2000,37.5,38.75,1.8,3.44,7.46,16.02,20.99,27.56,33.59,30.85,25.66,17.77,11.71,5.19,16.87
T2M,2000,37.5,39.375,0.46,2.32,5.99,14.8,19.58,26.31,32.41,29.55,24.34,16.45,10.16,3.74,15.54
T2M,2000,37.5,40.0,0.08,1.86,5.46,14.53,19.41,26.24,32.34,29.3,24.13,16.16,9.55,3.05,15.21
T2M,2000,37.5,40.625,0.08,1.66,5.23,14.32,19.34,26.18,32.01,28.81,23.71,15.94,9.13,2.83,14.97
T2M,2000,37.5,41.25,0.39,2.2,5.91,14.85,19.96,26.97,32.89,29.54,24.32,16.71,9.65,3.34,15.6
T2M,2000,37.5,41.875,0.55,2.59,6.03,14.67,20.15,27.31,33.07,29.59,24.43,16.97,9.99,3.56,15.78
T2M,2000,37.5,42.5,-0.61,1.3,4.9,13.21,18.58,25.76,31.76,28.07,22.98,15.47,8.94,2.83,14.47
T2M,2000,37.5,43.125,-6.08,-4.66,-0.17,8.18,13.06,19.91,25.97,22.43,17.38,10.03,3.68,-2.24,9.0
T2M,2000,37.5,43.75,-6.87,-4.18,-0.45,7.39,12.26,18.97,24.12,20.93,16.13,8.65,2.07,-3.01,8.03
T2M,2000,37.5,44.375,-7.16,-4.15,-0.29,7.3,12.37,18.22,22.91,20.25,15.68,8.01,1.17,-3.02,7.64
T2M,2000,38.0,37.5,-6.1,-5.1,0.32,9.16,12.77,18.47,25.86,22.92,18.09,10.35,5.7,-0.48,9.37
T2M,2000,38.0,38.125,-5.12,-4.31,1.24,9.84,13.89,19.64,26.67,23.7,18.71,10.91,5.9,-0.08,10.12
