-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,37.5,37.5,5.0,2.34,1.36,1.18,0.28,0.01,0.04,0.07,0.44,1.19,1.67,2.95,1.38
PRECTOTCORR,2000,37.5,38.125,4.09,1.79,1.11,1.03,0.27,0.0,0.05,0.04,0.27,1.14,1.49,2.67,1.16
PRECTOTCORR,2000,37.5,38.75,3.57,1.43,1.01,0.94,0.24,0.0,0.03,0.03,0.16,1.08,1.31,2.53,1.03
PRECTOTCORR,2000,37.5,39.375,3.14,1.36,0.97,0.96,0.22,0.0,0.01,0.03,0.11,1.05,1.08,2.56,0.96
PRECTOTCORR,2000,37.5,40.0,2.67,1.58,1.05,1.04,0.16,0.0,0.0,0.04,0.05,1.01,0.77,2.99,0.95
PRECTOTCORR,2000,37.5,40.625,2.43,1.63,1.15,1.0,0.12,0.0,0.0,0.04,0.03,0.78,0.6,3.58,0.95
PRECTOTCORR,2000,37.5,41.25,2.26,1.63,1.18,0.98,0.13,0.0,0.0,0.06,0.03,0.72,0.66,3.97,0.97
PRECTOTCORR,2000,37.5,41.875,2.1,1.67,1.6,1.47,0.26,0.0,0.0,0.04,0.02,0.56,0.86,4.33,1.08
PRECTOTCORR,2000,37.5,42.5,2.16,1.77,1.8,1.66,0.29,0.01,0.0,0.04,0.03,0.62,0.9,4.28,1.13
PRECTOTCORR,2000,37.5,43.125,1.64,1.45,1.51,1.54,0.35,0.04,0.0,0.09,0.04,0.55,1.3,2.81,0.94
PRECTOTCORR,2000,37.5,43.75,1.06,0.81,1.09,1.09,0.25,0.1,0.0,0.09,0.04,0.44,1.9,1.39,0.69
PRECTOTCORR,2000,37.5,44.375,0.87,0.42,0.94,0.89,0.17,0.13,0.01,0.06,0.05,0.43,2.13,0.79,0.57
PRECTOTCORR,2000,38.0,37.5,4.66,2.32,1.4,1.08,0.42,0.06,0.01,0.11,0.62,1.43,1.23,2.47,1.32
PRECTOTCORR,2000,38.0,38.125,3.31,1.77,1.05,0.99,0.44,0.01,0.02,0.08,0.44,1.5,0.95,2.06,1.05
PRECTOTCORR,2000,38.0,38.75,2.76,1.51,0.95,1.06,0.41,0.01,0.01,0.07,0.3,1.43,0.86,2.0,0.95
PRECTOTCORR,2000,38.0,39.375,2.55,1.62,1.0,1.18,0.37,0.01,0.0,0.08,0.22,1.41,0.8,2.21,0.95
PRECTOTCORR,2000,38.0,40.0,2.81,2.18,1.37,1.36,0.29,0.0,0.0,0.17,0.15,1.52,0.75,2.97,1.13
PRECTOTCORR,2000,38.0,40.625,2.88,2.34,1.56,1.43,0.26,0.0,0.0,0.2,0.13,1.47,0.67,3.35,1.19
PRECTOTCORR,2000,38.0,41.25,3.08,2.28,1.92,1.71,0.32,0.0,0.0,0.22,0.1,1.11,0.64,3.8,1.27
PRECTOTCORR,2000,38.0,41.875,2.85,2.16,2.11,2.15,0.41,0.01,0.0,0.14,0.07,0.87,0.74,3.64,1.26
PRECTOTCORR,2000,38.0,42.5,2.72,2.1,2.06,2.35,0.49,0.01,0.0,0.15,0.07,0.83,0.83,3.36,1.25
PRECTOTCORR,2000,38.0,43.125,1.7,1.62,1.4,1.79,0.48,0.04,0.0,0.16,0.05,0.51,1.11,2.28,0.93
PRECTOTCORR,2000,38.0,43.75,1.17,1.22,1.04,1.36,0.43,0.07,0.0,0.16,0.05,0.36,1.36,1.65,0.74
PRECTOTCORR,2000,38.0,44.375,0.83,0.58,0.8,1.08,0.33,0.14,0.0,0.1,0.08,0.34,1.75,0.79,0.57
PRECTOTCORR,2000,38.5,37.5,3.55,1.93,1.21,1.35,0.74,0.28,0.0,0.21,0.63,1.51,0.67,1.76,1.15
PRECTOTCORR,2000,38.5,38.125,1.87,1.49,0.84,1.23,0.66,0.05,0.0,0.12,0.46,1.67,0.34,1.27,0.83
PRECTOTCORR,2000,38.5,38.75,1.96,1.6,0.92,1.39,0.65,0.06,0.0,0.14,0.41,1.58,0.42,1.45,0.88
PRECTOTCORR,2000,38.5,39.375,2.34,2.01,1.26,1.62,0.63,0.02,0.0,0.24,0.34,1.52,0.51,1.89,1.03
PRECTOTCORR,2000,38.5,40.0,3.2,2.64,1.86,1.77,0.6,0.02,0.0,0.46,0.33,1.74,0.55,2.61,1.31
PRECTOTCORR,2000,38.5,40.625,3.94,2.99,2.34,1.92,0.6,0.01,0.0,0.63,0.32,1.81,0.56,3.19,1.53
PRECTOTCORR,2000,38.5,41.25,4.24,2.93,2.58,2.26,0.64,0.01,0.0,0.64,0.27,1.62,0.59,3.36,1.6
PRECTOTCORR,2000,38.5,41.875,3.93,2.57,2.45,2.51,0.68,0.01,0.0,0.53,0.22,1.35,0.64,3.17,1.51
PRECTOTCORR,2000,38.5,42.5,2.92,2.01,1.67,2.68,0.72,0.04,0.01,0.31,0.12,0.9,0.82,2.4,1.22
PRECTOTCORR,2000,38.5,43.125,1.83,1.56,1.1,1.95,0.63,0.07,0.01,0.25,0.07,0.53,0.96,1.83,0.9
PRECTOTCORR,2000,38.5,43.75,1.06,1.13,0.8,1.32,0.57,0.09,0.01,0.21,0.06,0.33,1.06,1.37,0.67
PRECTOTCORR,2000,38.5,44.375,0.72,0.6,0.59,1.19,0.54,0.14,0.01,0.13,0.12,0.29,1.04,0.72,0.51
PRECTOTCORR,2000,39.0,37.5,2.67,1.58,0.98,1.93,1.03,0.71,0.0,0.34,0.67,1.53,0.27,1.2,1.08
PRECTOTCORR,2000,39.0,38.125,1.87,1.5,0.88,1.52,0.86,0.3,0.0,0.23,0.62,1.68,0.18,1.01,0.89
PRECTOTCORR,2000,39.0,38.75,1.83,1.6,0.97,1.56,0.83,0.21,0.0,0.24,0.58,1.57,0.21,1.08,0.89
PRECTOTCORR,2000,39.0,39.375,2.18,1.99,1.34,1.69,0.82,0.08,0.0,0.34,0.53,1.4,0.29,1.37,1.0
PRECTOTCORR,2000,39.0,40.0,3.8,2.89,2.36,1.92,0.9,0.07,0.0,0.78,0.57,1.74,0.33,2.28,1.47
PRECTOTCORR,2000,39.0,40.625,4.88,3.34,3.12,2.21,0.98,0.04,0.0,1.09,0.56,1.97,0.39,2.98,1.8
PRECTOTCORR,2000,39.0,41.25,4.74,3.06,2.98,2.4,1.01,0.04,0.0,1.02,0.5,1.83,0.46,2.89,1.75
PRECTOTCORR,2000,39.0,41.875,3.87,2.35,2.33,2.64,1.03,0.05,0.01,0.73,0.39,1.47,0.59,2.42,1.49
PRECTOTCORR,2000,39.0,42.5,2.84,1.74,1.3,2.67,1.0,0.07,0.01,0.43,0.21,0.99,0.78,1.71,1.14
PRECTOTCORR,2000,39.0,43.125,2.3,1.52,1.03,2.32,0.98,0.09,0.02,0.35,0.16,0.81,0.82,1.51,0.99
PRECTOTCORR,2000,39.0,43.75,1.1,0.9,0.7,1.25,0.86,0.11,0.02,0.24,0.08,0.52,0.7,1.08,0.63
PRECTOTCORR,2000,39.0,44.375,0.61,0.46,0.54,0.91,0.78,0.11,0.03,0.18,0.1,0.47,0.52,0.67,0.45
PRECTOTCORR,2000,39.5,37.5,2.6,1.55,0.94,2.7,1.27,1.24,0.01,0.53,0.86,1.56,0.11,0.96,1.19
PRECTOTCORR,2000,39.5,38.125,2.34,1.64,1.08,1.99,1.11,0.76,0.02,0.54,0.98,1.73,0.11,0.98,1.11
PRECTOTCORR,2000,39.5,38.75,2.24,1.74,1.22,1.68,1.04,0.49,0.02,0.5,0.94,1.58,0.13,0.99,1.05
PRECTOTCORR,2000,39.5,39.375,2.94,2.3,1.95,1.6,1.01,0.21,0.01,0.68,0.86,1.43,0.15,1.44,1.21
PRECTOTCORR,2000,39.5,40.0,3.31,2.5,2.24,1.68,1.05,0.19,0.01,0.81,0.86,1.54,0.17,1.69,1.34
PRECTOTCORR,2000,39.5,40.625,3.77,2.67,2.82,1.96,1.18,0.12,0.01,1.0,0.78,1.76,0.21,2.17,1.54
PRECTOTCORR,2000,39.5,41.25,3.45,2.33,2.68,2.13,1.24,0.11,0.01,0.92,0.73,1.7,0.29,2.08,1.47
PRECTOTCORR,2000,39.5,41.875,2.57,1.64,1.93,2.31,1.38,0.14,0.03,0.61,0.58,1.42,0.46,1.57,1.22
PRECTOTCORR,2000,39.5,42.5,2.27,1.42,1.57,2.3,1.42,0.16,0.03,0.49,0.5,1.27,0.52,1.36,1.11
PRECTOTCORR,2000,39.5,43.125,1.4,0.85,0.82,1.46,1.45,0.19,0.05,0.3,0.23,0.93,0.48,0.94,0.76
PRECTOTCORR,2000,39.5,43.75,0.98,0.49,0.62,1.0,1.4,0.16,0.05,0.25,0.11,0.84,0.35,0.75,0.59
PRECTOTCORR,2000,39.5,44.375,0.65,0.25,0.44,0.83,1.06,0.14,0.04,0.21,0.12,0.73,0.21,0.58,0.44
PRECTOTCORR,2000,40.0,37.5,3.17,1.96,1.21,3.08,1.67,1.53,0.04,0.86,1.21,1.79,0.08,1.14,1.48
PRECTOTCORR,2000,40.0,38.125,3.63,2.23,1.63,2.55,1.63,1.34,0.1,1.32,1.8,2.4,0.1,1.42,1.68
PRECTOTCORR,2000,40.0,38.75,3.45,2.21,1.7,2.18,1.52,1.08,0.09,1.27,1.77,2.23,0.1,1.35,1.58
PRECTOTCORR,2000,40.0,39.375,2.9,2.13,1.91,1.44,1.25,0.47,0.06,1.06,1.49,1.65,0.1,1.16,1.3
PRECTOTCORR,2000,40.0,40.0,2.87,2.12,2.07,1.45,1.21,0.37,0.04,1.03,1.36,1.54,0.1,1.23,1.28
PRECTOTCORR,2000,40.0,40.625,2.42,1.86,2.31,1.65,1.34,0.32,0.04,0.93,1.16,1.62,0.12,1.32,1.26
PRECTOTCORR,2000,40.0,41.25,2.11,1.62,2.34,1.8,1.5,0.33,0.06,0.89,1.13,1.7,0.19,1.29,1.25
PRECTOTCORR,2000,40.0,41.875,1.54,1.24,1.91,1.86,1.77,0.35,0.09,0.63,0.96,1.63,0.27,1.02,1.11
PRECTOTCORR,2000,40.0,42.5,1.56,1.19,1.57,1.83,1.93,0.41,0.12,0.58,0.88,1.57,0.34,0.91,1.08
PRECTOTCORR,2000,40.0,43.125,1.39,0.82,0.82,1.41,2.13,0.38,0.12,0.37,0.49,1.31,0.28,0.78,0.86
PRECTOTCORR,2000,40.0,43.75,1.26,0.6,0.6,1.22,2.09,0.35,0.11,0.31,0.34,1.21,0.23,0.75,0.76
PRECTOTCORR,2000,40.0,44.375,0.93,0.28,0.39,0.89,1.48,0.23,0.08,0.29,0.19,1.08,0.13,0.67,0.56
PRECTOTCORR,2000,40.5,37.5,4.43,2.99,1.85,2.91,2.37,1.56,0.13,1.56,1.9,2.54,0.08,1.78,2.01
PRECTOTCORR,2000,40.5,38.125,5.49,3.37,2.64,2.57,2.38,1.61,0.23,2.6,3.1,3.79,0.12,2.38,2.53
PRECTOTCORR,2000,40.5,38.75,5.39,3.32,2.76,2.21,2.23,1.38,0.23,2.68,3.18,3.67,0.13,2.3,2.46
PRECTOTCORR,2000,40.5,39.375,4.34,2.8,2.64,1.59,1.69,0.81,0.15,2.3,2.65,2.59,0.16,1.66,1.95
PRECTOTCORR,2000,40.5,40.0,3.69,2.47,2.55,1.48,1.47,0.63,0.12,2.03,2.26,2.05,0.17,1.33,1.69
PRECTOTCORR,2000,40.5,40.625,2.89,2.18,2.69,1.63,1.81,1.0,0.23,1.8,2.22,2.45,0.31,1.09,1.69
PRECTOTCORR,2000,40.5,41.25,2.59,2.07,2.72,1.71,2.02,1.21,0.3,1.72,2.25,2.7,0.4,1.0,1.73
PRECTOTCORR,2000,40.5,41.875,2.13,1.86,2.28,1.64,2.26,1.24,0.36,1.44,1.93,2.64,0.43,0.82,1.59
PRECTOTCORR,2000,40.5,42.5,1.99,1.73,1.78,1.54,2.44,1.17,0.38,1.25,1.64,2.44,0.43,0.74,1.46
