-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_RANGE,2000,36.5,26.25,2.23,2.03,2.11,1.44,1.85,2.48,2.47,1.99,1.9,1.31,1.24,1.43,1.87
T2M_RANGE,2000,36.5,26.875,2.41,2.15,2.19,1.29,1.76,2.74,2.69,2.14,1.95,1.5,1.24,1.58,1.97
T2M_RANGE,2000,36.5,27.5,3.19,3.0,3.44,2.59,4.1,5.57,5.74,4.48,4.21,3.24,2.71,2.38,3.72
T2M_RANGE,2000,36.5,28.125,3.7,3.54,4.02,3.35,5.55,6.95,6.89,5.96,5.6,4.2,3.36,3.09,4.69
T2M_RANGE,2000,36.5,28.75,3.02,2.75,2.94,1.95,3.14,4.4,4.28,3.52,3.24,2.54,1.65,2.49,3.0
T2M_RANGE,2000,36.5,29.375,6.48,6.79,8.05,7.23,9.33,11.2,11.71,11.12,10.46,8.9,7.84,6.51,8.81
T2M_RANGE,2000,36.5,30.0,8.05,8.25,10.45,9.1,10.6,13.95,14.36,13.79,13.06,10.96,9.77,7.57,10.83
T2M_RANGE,2000,36.5,30.625,5.26,5.03,6.23,5.19,6.04,7.42,7.48,7.18,6.81,5.84,5.12,4.31,6.0
T2M_RANGE,2000,36.5,31.25,3.27,3.03,2.85,2.03,2.62,3.95,3.73,3.45,2.87,2.9,2.43,2.4,2.96
T2M_RANGE,2000,37.0,26.25,2.35,2.16,2.13,1.38,1.68,2.23,2.1,1.77,1.79,1.31,1.29,1.61,1.82
T2M_RANGE,2000,37.0,26.875,2.77,2.62,2.82,2.18,3.05,4.31,4.02,3.38,3.06,2.34,1.95,1.99,2.88
T2M_RANGE,2000,37.0,27.5,4.76,4.95,5.54,4.8,6.84,8.75,8.88,7.7,7.09,5.75,4.91,4.0,6.17
T2M_RANGE,2000,37.0,28.125,7.27,7.52,8.77,7.34,10.6,12.88,13.55,12.07,12.01,9.84,8.78,7.06,9.82
T2M_RANGE,2000,37.0,28.75,9.27,9.45,11.22,9.12,12.54,14.96,15.72,14.25,14.36,12.11,11.22,9.21,11.96
T2M_RANGE,2000,37.0,29.375,8.56,9.24,11.32,10.47,12.21,15.28,16.68,15.53,15.19,13.05,11.72,9.11,12.37
T2M_RANGE,2000,37.0,30.0,9.36,9.11,12.28,10.85,11.79,15.13,16.57,14.89,14.99,12.59,11.33,8.48,12.29
T2M_RANGE,2000,37.0,30.625,9.33,10.57,12.08,9.78,11.41,14.39,14.99,13.49,13.57,11.94,11.66,9.36,11.88
T2M_RANGE,2000,37.0,31.25,7.99,9.27,9.99,8.27,10.33,13.13,13.52,12.49,12.3,10.43,10.63,8.44,10.57
T2M_RANGE,2000,37.5,26.25,2.62,2.49,2.46,1.85,2.82,3.73,3.52,3.09,2.71,1.95,1.69,1.89,2.57
T2M_RANGE,2000,37.5,26.875,3.54,3.76,3.87,3.48,5.09,6.62,6.26,5.78,5.07,3.89,3.46,2.91,4.48
T2M_RANGE,2000,37.5,27.5,9.17,10.02,10.53,9.45,12.56,15.29,16.15,14.72,13.95,11.69,11.1,8.7,11.95
T2M_RANGE,2000,37.5,28.125,8.92,10.08,11.5,9.86,13.01,16.3,18.05,16.0,15.68,13.13,12.27,9.73,12.89
T2M_RANGE,2000,37.5,28.75,8.87,10.27,12.1,10.36,12.54,15.65,17.58,15.94,15.66,13.39,12.42,10.15,12.92
T2M_RANGE,2000,37.5,29.375,8.86,9.94,12.21,11.24,11.9,14.37,16.09,14.86,14.53,12.51,11.39,9.32,12.27
T2M_RANGE,2000,37.5,30.0,8.9,9.57,12.32,11.02,11.46,14.41,15.93,14.21,13.97,12.19,11.41,8.9,12.03
T2M_RANGE,2000,37.5,30.625,9.14,10.28,12.5,11.02,12.64,15.89,17.29,15.31,15.15,12.66,12.46,9.26,12.8
T2M_RANGE,2000,37.5,31.25,9.0,9.2,11.72,10.74,12.08,15.36,16.94,15.25,15.01,12.24,12.4,8.8,12.4
T2M_RANGE,2000,38.0,26.25,2.97,3.3,3.09,2.46,3.97,5.03,4.69,4.67,3.83,2.97,2.53,2.28,3.48
T2M_RANGE,2000,38.0,26.875,4.73,5.75,5.55,5.4,7.5,9.13,8.84,8.77,7.46,5.99,5.44,4.17,6.56
T2M_RANGE,2000,38.0,27.5,9.43,11.19,11.42,10.21,13.65,16.49,17.61,16.22,15.25,12.66,12.22,9.57,13.0
T2M_RANGE,2000,38.0,28.125,9.12,10.89,11.95,10.42,13.37,17.03,18.55,16.68,15.98,13.58,12.93,10.43,13.42
T2M_RANGE,2000,38.0,28.75,9.09,11.06,12.62,11.01,12.88,16.69,18.18,16.47,15.78,13.74,13.15,10.81,13.46
T2M_RANGE,2000,38.0,29.375,9.21,11.4,13.42,12.11,13.01,16.31,17.8,15.82,15.25,13.67,13.35,11.19,13.55
T2M_RANGE,2000,38.0,30.0,9.22,10.27,12.83,11.86,12.28,15.49,17.04,15.09,14.44,12.89,12.55,10.24,12.86
T2M_RANGE,2000,38.0,30.625,8.83,9.16,11.79,11.08,11.44,14.58,16.31,14.37,13.68,11.77,11.09,8.46,11.89
T2M_RANGE,2000,38.0,31.25,8.55,8.3,10.67,10.16,10.38,13.51,15.38,13.4,12.79,10.69,10.16,7.16,10.94
T2M_RANGE,2000,38.5,26.25,3.68,4.41,4.16,3.86,5.73,6.89,6.57,6.56,5.4,4.42,3.9,3.03,4.89
T2M_RANGE,2000,38.5,26.875,7.37,9.12,9.05,8.34,11.21,12.96,13.0,12.82,11.33,9.68,8.87,7.26,10.09
T2M_RANGE,2000,38.5,27.5,9.31,11.77,12.13,10.6,14.31,17.29,18.45,17.18,15.84,13.15,12.84,10.25,13.6
T2M_RANGE,2000,38.5,28.125,8.94,11.07,12.11,10.76,13.73,17.34,18.82,17.09,16.34,13.66,13.56,10.5,13.66
T2M_RANGE,2000,38.5,28.75,9.3,10.88,12.74,11.59,13.69,16.89,18.68,16.54,16.17,13.96,13.78,10.85,13.76
