-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,36.5,26.25,1.78,1.97,1.28,0.71,0.14,0.03,0.0,0.01,0.07,1.32,1.94,1.7,0.91
PRECTOTCORR,2000,36.5,26.875,1.96,2.93,1.67,1.01,0.22,0.05,0.0,0.02,0.02,1.23,2.08,1.55,1.05
PRECTOTCORR,2000,36.5,27.5,2.26,4.4,2.13,1.34,0.33,0.09,0.0,0.03,0.01,0.99,2.21,1.46,1.26
PRECTOTCORR,2000,36.5,28.125,2.31,4.83,2.16,1.37,0.31,0.12,0.01,0.03,0.0,0.77,2.31,1.58,1.3
PRECTOTCORR,2000,36.5,28.75,2.71,5.4,2.4,1.6,0.6,0.21,0.02,0.05,0.01,0.59,3.05,2.21,1.55
PRECTOTCORR,2000,36.5,29.375,2.8,4.45,2.29,1.65,0.81,0.2,0.02,0.06,0.01,0.87,4.54,2.77,1.69
PRECTOTCORR,2000,36.5,30.0,2.28,2.47,2.1,2.29,1.59,0.08,0.01,0.2,0.02,1.28,6.83,4.05,1.93
PRECTOTCORR,2000,36.5,30.625,2.16,2.19,2.02,2.55,1.61,0.07,0.01,0.21,0.03,1.33,6.63,4.01,1.9
PRECTOTCORR,2000,36.5,31.25,3.38,2.65,2.08,4.26,2.02,0.05,0.0,0.2,0.08,2.19,5.79,4.37,2.25
PRECTOTCORR,2000,37.0,26.25,1.05,1.45,0.99,0.35,0.04,0.02,0.0,0.0,0.0,1.28,1.86,1.65,0.72
PRECTOTCORR,2000,37.0,26.875,1.71,2.77,1.59,0.94,0.08,0.08,0.0,0.03,0.0,1.19,2.1,1.52,0.99
