-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,37.0,36.875,4.65,2.78,1.52,2.18,0.35,0.06,0.01,0.6,0.82,1.38,1.24,2.87,1.54
PRECTOTCORR,2000,37.0,37.5,4.37,2.18,1.41,1.39,0.24,0.01,0.06,0.13,0.34,0.94,1.62,2.95,1.3
PRECTOTCORR,2000,37.0,38.125,4.12,1.8,1.29,1.16,0.22,0.0,0.08,0.04,0.22,0.82,1.56,2.82,1.18
PRECTOTCORR,2000,37.0,38.75,3.37,1.15,0.98,1.01,0.22,0.0,0.05,0.01,0.08,0.69,1.2,2.52,0.94
PRECTOTCORR,2000,37.0,39.375,2.84,0.9,0.83,1.01,0.23,0.0,0.01,0.01,0.03,0.58,0.87,2.43,0.81
PRECTOTCORR,2000,37.0,40.0,2.44,0.92,0.78,0.95,0.23,0.0,0.0,0.01,0.02,0.56,0.76,2.46,0.76
PRECTOTCORR,2000,37.0,40.625,1.68,0.95,0.75,0.75,0.15,0.0,0.0,0.01,0.01,0.35,0.71,3.13,0.71
PRECTOTCORR,2000,37.0,41.25,1.56,0.96,0.7,0.66,0.1,0.0,0.0,0.0,0.0,0.32,0.71,3.22,0.69
PRECTOTCORR,2000,37.0,41.875,1.43,1.14,1.01,0.93,0.19,0.0,0.0,0.02,0.01,0.36,0.99,4.29,0.87
PRECTOTCORR,2000,37.0,42.5,1.61,1.31,1.28,1.13,0.21,0.01,0.0,0.02,0.01,0.46,1.05,4.49,0.97
PRECTOTCORR,2000,37.5,36.875,5.75,2.83,1.57,1.38,0.29,0.02,0.02,0.15,0.64,1.27,1.73,3.14,1.57
PRECTOTCORR,2000,37.5,37.5,5.0,2.34,1.36,1.18,0.28,0.01,0.04,0.07,0.44,1.19,1.67,2.95,1.38
PRECTOTCORR,2000,37.5,38.125,4.09,1.79,1.11,1.03,0.27,0.0,0.05,0.04,0.27,1.14,1.49,2.67,1.16
PRECTOTCORR,2000,37.5,38.75,3.57,1.43,1.01,0.94,0.24,0.0,0.03,0.03,0.16,1.08,1.31,2.53,1.03
PRECTOTCORR,2000,37.5,39.375,3.14,1.36,0.97,0.96,0.22,0.0,0.01,0.03,0.11,1.05,1.08,2.56,0.96
PRECTOTCORR,2000,37.5,40.0,2.67,1.58,1.05,1.04,0.16,0.0,0.0,0.04,0.05,1.01,0.77,2.99,0.95
PRECTOTCORR,2000,37.5,40.625,2.43,1.63,1.15,1.0,0.12,0.0,0.0,0.04,0.03,0.78,0.6,3.58,0.95
PRECTOTCORR,2000,37.5,41.25,2.26,1.63,1.18,0.98,0.13,0.0,0.0,0.06,0.03,0.72,0.66,3.97,0.97
PRECTOTCORR,2000,37.5,41.875,2.1,1.67,1.6,1.47,0.26,0.0,0.0,0.04,0.02,0.56,0.86,4.33,1.08
PRECTOTCORR,2000,37.5,42.5,2.16,1.77,1.8,1.66,0.29,0.01,0.0,0.04,0.03,0.62,0.9,4.28,1.13
PRECTOTCORR,2000,38.0,36.875,5.58,2.74,1.67,1.29,0.46,0.11,0.0,0.17,0.77,1.42,1.36,2.68,1.52
PRECTOTCORR,2000,38.0,37.5,4.66,2.32,1.4,1.08,0.42,0.06,0.01,0.11,0.62,1.43,1.23,2.47,1.32
