-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,37.0,36.875,1.42,2.54,6.24,13.4,17.75,24.24,29.44,26.96,22.34,15.55,10.9,4.52,14.64
T2M,2000,37.0,37.5,1.2,2.43,6.42,13.87,18.48,25.14,31.09,28.39,23.52,16.08,10.4,3.96,15.12
T2M,2000,37.0,38.125,2.46,3.76,7.65,15.45,20.21,26.99,32.98,30.35,25.28,17.73,11.76,5.22,16.69
T2M,2000,37.0,38.75,2.88,4.3,8.12,16.33,21.03,27.93,33.7,31.02,25.9,18.38,12.25,5.51,17.31
T2M,2000,37.0,39.375,3.14,4.73,8.58,16.94,21.57,28.67,34.43,31.57,26.51,18.9,12.67,5.68,17.82
T2M,2000,37.0,40.0,3.35,4.95,8.65,17.37,22.32,29.37,34.97,32.03,26.96,19.25,12.7,5.85,18.18
T2M,2000,37.0,40.625,3.21,4.9,8.41,17.23,22.28,29.22,34.67,31.63,26.55,18.9,12.47,5.74,17.97
T2M,2000,37.0,41.25,3.46,5.35,9.02,17.67,23.05,29.94,35.47,32.28,27.15,19.45,12.94,6.16,18.53
T2M,2000,37.0,41.875,3.77,5.88,9.35,18.26,23.75,30.52,36.09,32.88,27.69,20.12,13.27,6.47,19.04
T2M,2000,37.0,42.5,4.4,6.67,10.0,18.84,24.34,31.22,36.92,33.47,28.38,20.74,13.85,7.52,19.73
T2M,2000,37.5,36.875,-1.17,0.96,4.87,12.48,16.69,23.27,29.25,26.55,21.75,14.6,10.08,3.47,13.6
T2M,2000,37.5,37.5,-0.67,1.19,5.41,13.14,17.81,24.57,31.0,28.04,23.02,15.25,10.12,3.61,14.41
T2M,2000,37.5,38.125,1.42,2.88,7.08,15.26,20.28,26.86,33.03,30.19,25.09,17.16,11.47,5.02,16.35
T2M,2000,37.5,38.75,1.8,3.44,7.46,16.02,20.99,27.56,33.59,30.85,25.66,17.77,11.71,5.19,16.87
T2M,2000,37.5,39.375,0.46,2.32,5.99,14.8,19.58,26.31,32.41,29.55,24.34,16.45,10.16,3.74,15.54
T2M,2000,37.5,40.0,0.08,1.86,5.46,14.53,19.41,26.24,32.34,29.3,24.13,16.16,9.55,3.05,15.21
T2M,2000,37.5,40.625,0.08,1.66,5.23,14.32,19.34,26.18,32.01,28.81,23.71,15.94,9.13,2.83,14.97
