-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,37.0,30.0,-3.02,-0.24,2.4,8.73,12.92,18.38,23.63,21.27,17.59,10.56,8.09,1.32,10.16
T2M,2000,37.0,30.625,4.39,6.96,9.52,14.93,19.58,25.59,29.72,28.35,25.01,18.35,15.26,8.79,17.23
T2M,2000,37.0,31.25,4.15,6.52,9.16,14.36,18.64,24.17,28.64,27.27,23.79,17.36,14.54,8.66,16.46
T2M,2000,37.0,31.875,-1.87,0.92,3.93,10.29,14.11,18.87,24.53,22.84,18.95,11.89,8.99,3.01,11.4
T2M,2000,37.0,32.5,-5.63,-2.29,0.95,7.6,11.25,16.47,22.87,20.06,16.39,8.89,5.93,-0.1,8.56
T2M,2000,37.0,33.125,-4.46,-1.14,2.07,9.22,12.55,17.58,23.87,21.42,17.81,9.9,6.49,0.49,9.67
T2M,2000,37.0,33.75,-5.84,-2.7,0.42,7.51,10.94,16.09,22.31,20.15,16.19,8.77,5.21,-0.24,8.26
T2M,2000,37.0,34.375,-2.43,-0.36,3.04,9.9,13.64,19.49,25.28,23.04,19.08,12.19,8.39,2.86,11.21
T2M,2000,37.0,35.0,5.33,7.23,10.07,17.02,21.01,27.85,32.63,30.44,26.61,19.93,15.65,9.9,18.67
T2M,2000,37.0,35.625,5.86,7.7,10.54,17.71,21.02,27.25,31.47,30.1,26.56,20.42,15.78,10.24,18.75
T2M,2000,37.0,36.25,4.16,5.49,8.68,15.51,19.19,25.13,29.5,27.76,23.97,18.13,13.87,7.83,16.63
T2M,2000,37.0,36.875,1.42,2.54,6.24,13.4,17.75,24.24,29.44,26.96,22.34,15.55,10.9,4.52,14.64
T2M,2000,37.0,37.5,1.2,2.43,6.42,13.87,18.48,25.14,31.09,28.39,23.52,16.08,10.4,3.96,15.12
T2M,2000,37.0,38.125,2.46,3.76,7.65,15.45,20.21,26.99,32.98,30.35,25.28,17.73,11.76,5.22,16.69
T2M,2000,37.0,38.75,2.88,4.3,8.12,16.33,21.03,27.93,33.7,31.02,25.9,18.38,12.25,5.51,17.31
T2M,2000,37.5,30.0,-2.47,0.75,3.71,10.46,14.58,19.84,24.78,22.69,18.75,11.95,9.34,2.35,11.42
T2M,2000,37.5,30.625,-1.59,1.7,4.85,11.11,15.36,20.8,25.86,23.74,19.96,12.86,10.05,3.31,12.36
T2M,2000,37.5,31.25,-3.48,-0.11,3.15,9.5,13.41,18.43,23.88,21.54,18.02,10.8,8.12,1.57,10.43
T2M,2000,37.5,31.875,-4.71,-1.45,2.03,8.82,12.09,16.89,22.88,20.38,17.06,9.79,6.96,0.62,9.3
T2M,2000,37.5,32.5,-3.43,-0.65,3.17,10.59,13.53,18.43,25.16,22.29,18.97,10.97,7.73,1.2,10.69
T2M,2000,37.5,33.125,-2.37,0.15,4.02,11.73,14.64,19.26,25.99,23.38,19.9,11.84,8.09,1.74,11.56
T2M,2000,37.5,33.75,-3.74,-0.53,3.05,11.03,13.9,18.28,24.99,22.49,18.84,11.18,7.42,1.28,10.71
T2M,2000,37.5,34.375,-5.71,-1.69,1.76,9.54,12.54,17.17,23.95,21.37,17.62,10.19,6.58,0.47,9.51
T2M,2000,37.5,35.0,-4.7,-0.61,2.68,10.12,13.4,19.0,25.9,23.18,19.0,11.69,7.76,1.7,10.79
T2M,2000,37.5,35.625,1.11,3.43,6.81,14.39,17.98,24.58,30.51,27.97,23.68,16.43,12.19,6.36,15.48
T2M,2000,37.5,36.25,0.52,2.58,6.05,13.7,17.45,23.98,29.71,27.11,22.76,15.77,11.36,5.3,14.72
T2M,2000,37.5,36.875,-1.17,0.96,4.87,12.48,16.69,23.27,29.25,26.55,21.75,14.6,10.08,3.47,13.6
T2M,2000,37.5,37.5,-0.67,1.19,5.41,13.14,17.81,24.57,31.0,28.04,23.02,15.25,10.12,3.61,14.41
T2M,2000,37.5,38.125,1.42,2.88,7.08,15.26,20.28,26.86,33.03,30.19,25.09,17.16,11.47,5.02,16.35
T2M,2000,37.5,38.75,1.8,3.44,7.46,16.02,20.99,27.56,33.59,30.85,25.66,17.77,11.71,5.19,16.87
T2M,2000,38.0,30.0,-2.58,1.1,4.34,11.66,15.45,20.58,25.46,23.54,19.41,12.58,9.74,2.53,12.01
T2M,2000,38.0,30.625,-4.06,-0.06,3.33,10.56,14.25,19.12,24.32,21.89,18.2,11.22,8.61,1.56,10.77
T2M,2000,38.0,31.25,-5.18,-1.0,2.46,9.79,13.08,17.69,23.27,20.6,17.3,10.15,7.67,0.97,9.76
T2M,2000,38.0,31.875,-5.49,-1.73,1.9,9.39,12.22,16.95,23.02,20.12,16.92,9.52,6.78,0.49,9.2
T2M,2000,38.0,32.5,-4.09,-0.88,3.05,10.95,13.51,18.19,24.75,21.59,18.41,10.61,7.39,1.15,10.41
T2M,2000,38.0,33.125,-3.19,-0.3,3.66,12.01,14.53,18.95,25.66,22.66,19.19,11.35,7.39,1.46,11.14
T2M,2000,38.0,33.75,-3.13,-0.22,3.67,12.31,14.88,19.07,25.73,23.22,19.32,11.89,7.66,1.68,11.37
T2M,2000,38.0,34.375,-5.62,-2.25,1.75,10.09,12.75,16.97,23.88,21.14,17.46,10.15,6.41,0.46,9.46
T2M,2000,38.0,35.0,-8.12,-5.68,-1.38,7.03,9.83,14.28,20.84,18.4,14.99,7.51,3.97,-1.55,6.71
T2M,2000,38.0,35.625,-6.41,-3.64,1.3,9.35,12.33,17.09,23.73,21.51,17.5,9.96,6.06,0.27,9.12
T2M,2000,38.0,36.25,-6.92,-5.03,-0.2,8.64,11.8,17.1,24.26,21.64,17.18,9.73,5.58,-0.39,8.65
T2M,2000,38.0,36.875,-7.02,-5.73,-0.42,8.68,11.87,17.46,24.86,21.97,17.39,9.86,5.5,-0.79,8.67
T2M,2000,38.0,37.5,-6.1,-5.1,0.32,9.16,12.77,18.47,25.86,22.92,18.09,10.35,5.7,-0.48,9.37
T2M,2000,38.0,38.125,-5.12,-4.31,1.24,9.84,13.89,19.64,26.67,23.7,18.71,10.91,5.9,-0.08,10.12
T2M,2000,38.0,38.75,-2.62,-1.02,3.6,12.41,16.84,23.05,29.52,26.69,21.45,13.41,7.7,1.57,12.75
T2M,2000,38.5,30.0,-4.87,-0.56,2.4,10.24,13.28,18.29,23.43,21.39,17.46,10.93,8.29,1.38,10.16
T2M,2000,38.5,30.625,-5.37,-0.97,2.29,10.28,13.17,17.78,23.24,20.89,17.28,10.41,7.91,0.82,9.83
T2M,2000,38.5,31.25,-5.18,-0.89,2.72,10.68,13.41,17.87,23.77,21.1,17.6,10.47,8.04,0.98,10.07
T2M,2000,38.5,31.875,-4.12,-0.35,3.51,11.53,14.04,18.59,25.27,22.14,18.39,10.99,8.18,1.43,10.82
T2M,2000,38.5,32.5,-3.8,-0.31,3.78,11.95,14.49,19.12,25.88,22.39,19.0,11.29,7.82,1.59,11.13
T2M,2000,38.5,33.125,-3.46,0.05,4.31,12.83,15.42,19.72,26.28,22.99,19.71,12.07,7.95,2.02,11.68
T2M,2000,38.5,33.75,-3.44,-0.11,4.01,12.96,15.31,19.28,26.01,23.17,19.66,12.27,7.87,2.02,11.61
T2M,2000,38.5,34.375,-4.94,-1.7,2.05,11.18,13.23,17.3,24.45,21.26,18.02,10.78,6.99,0.99,9.99
T2M,2000,38.5,35.0,-5.69,-2.59,1.62,10.53,12.72,16.75,23.79,20.73,17.57,10.27,6.65,0.62,9.44
T2M,2000,38.5,35.625,-7.37,-5.23,0.21,8.61,11.18,15.26,22.0,19.55,16.05,8.72,4.98,-0.79,7.8
T2M,2000,38.5,36.25,-8.65,-7.24,-2.67,6.94,9.97,14.33,21.55,19.1,15.2,7.64,3.9,-2.16,6.53
T2M,2000,38.5,36.875,-8.71,-7.52,-3.08,7.09,10.05,14.87,22.31,19.7,15.51,7.78,3.69,-2.55,6.63
T2M,2000,38.5,37.5,-7.32,-6.29,-0.98,8.63,11.78,16.85,24.43,21.54,17.14,9.12,4.69,-1.46,8.22
T2M,2000,38.5,38.125,-2.93,-1.34,3.51,12.82,16.2,21.55,28.74,25.64,21.07,12.89,7.8,1.8,12.35
