-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,40.0,32.5,-5.57,-1.31,2.54,11.13,14.18,18.18,24.65,21.74,17.87,10.98,7.93,0.7,10.28
T2M,2000,40.0,33.125,-7.14,-2.7,1.8,10.38,13.11,17.01,24.07,20.49,17.22,9.99,7.01,-0.07,9.29
T2M,2000,40.0,33.75,-6.42,-1.88,2.82,11.58,13.8,17.81,25.35,21.47,18.53,11.09,7.56,0.77,10.23
T2M,2000,40.0,34.375,-6.5,-3.02,2.33,11.27,12.86,16.9,24.5,20.77,18.18,10.83,7.01,0.8,9.69
T2M,2000,40.0,35.0,-6.67,-5.04,0.96,10.13,11.26,15.12,22.47,19.17,16.81,9.73,6.1,0.34,8.4
T2M,2000,40.0,35.625,-5.68,-3.7,1.47,10.75,11.62,15.29,22.74,19.55,17.22,10.14,6.84,1.04,8.97
T2M,2000,40.0,36.25,-6.38,-4.87,0.44,9.63,10.73,14.42,21.86,18.72,16.24,9.2,6.04,0.35,8.06
T2M,2000,40.5,32.5,-8.45,-4.92,-0.34,8.22,10.81,14.61,20.69,17.79,14.47,8.23,5.86,-0.8,7.21
T2M,2000,40.5,33.125,-8.26,-4.74,0.05,8.71,11.01,14.95,21.67,18.58,15.18,8.57,6.01,-0.77,7.61
T2M,2000,40.5,33.75,-6.42,-2.3,2.39,11.21,13.51,17.54,24.94,21.14,17.97,10.97,7.82,0.72,9.98
T2M,2000,40.5,34.375,-5.62,-2.17,2.91,11.88,13.83,17.89,25.33,21.46,18.55,11.64,8.04,1.24,10.44
T2M,2000,40.5,35.0,-6.28,-3.67,1.84,10.91,12.25,16.23,23.29,19.84,17.16,10.68,7.03,0.76,9.2
T2M,2000,40.5,35.625,-5.23,-2.37,2.61,11.84,12.82,16.66,23.55,20.63,17.99,11.55,8.09,1.77,10.02
T2M,2000,40.5,36.25,-4.93,-2.44,2.62,11.86,12.53,16.25,23.1,20.45,17.87,11.43,8.3,2.07,9.95
T2M,2000,41.0,32.5,-6.18,-2.13,1.44,10.13,11.86,15.47,21.06,18.61,15.33,9.98,7.93,1.32,8.76
T2M,2000,41.0,33.125,-7.31,-3.64,0.49,9.14,10.96,14.71,21.3,18.42,15.07,9.28,7.04,0.11,7.99
T2M,2000,41.0,33.75,-8.1,-4.82,-0.3,8.34,10.34,14.41,21.54,17.72,14.97,8.59,6.03,-0.84,7.35
T2M,2000,41.0,34.375,-7.16,-3.92,0.65,9.72,11.42,15.45,22.47,18.59,16.21,9.67,6.87,-0.09,8.35
