-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,40.0,32.5,1.67,1.05,1.05,2.77,0.93,1.44,0.25,0.81,0.3,0.69,0.39,1.48,1.07
PRECTOTCORR,2000,40.0,33.125,1.99,1.1,0.73,2.51,0.89,1.58,0.08,0.7,0.25,0.65,0.42,1.57,1.04
PRECTOTCORR,2000,40.0,33.75,2.45,1.44,0.83,2.58,1.36,1.56,0.03,0.84,0.22,0.76,0.41,1.38,1.15
PRECTOTCORR,2000,40.0,34.375,2.89,1.83,1.08,2.66,1.81,1.54,0.02,1.05,0.22,0.83,0.47,1.23,1.3
PRECTOTCORR,2000,40.0,35.0,3.33,2.34,1.48,2.74,2.37,1.49,0.0,1.29,0.26,0.79,0.58,1.12,1.48
PRECTOTCORR,2000,40.0,35.625,2.99,2.26,1.34,2.74,2.55,1.32,0.0,0.96,0.3,0.74,0.36,1.09,1.39
PRECTOTCORR,2000,40.0,36.25,2.83,2.09,1.15,2.9,2.32,1.35,0.0,0.73,0.47,0.9,0.21,1.05,1.33
PRECTOTCORR,2000,40.5,32.5,1.92,1.29,1.48,3.07,1.03,1.96,0.48,1.4,0.84,0.98,0.34,1.51,1.36
PRECTOTCORR,2000,40.5,33.125,1.96,1.27,1.26,2.83,0.99,2.0,0.35,1.28,0.8,0.89,0.39,1.59,1.3
PRECTOTCORR,2000,40.5,33.75,2.23,1.41,1.01,2.78,1.43,1.85,0.13,1.31,0.48,0.78,0.37,1.27,1.25
PRECTOTCORR,2000,40.5,34.375,2.54,1.72,1.07,2.77,1.83,1.81,0.06,1.58,0.43,0.78,0.39,1.08,1.34
PRECTOTCORR,2000,40.5,35.0,2.71,2.08,1.14,2.65,2.22,1.67,0.03,1.64,0.45,0.72,0.36,1.09,1.39
PRECTOTCORR,2000,40.5,35.625,2.82,2.4,1.18,2.58,2.64,1.4,0.01,1.31,0.37,0.67,0.27,1.16,1.4
PRECTOTCORR,2000,40.5,36.25,3.11,2.58,1.22,2.73,2.7,1.31,0.02,0.99,0.56,0.95,0.16,1.26,1.46
PRECTOTCORR,2000,41.0,32.5,3.0,1.62,2.19,3.08,1.17,3.06,0.67,2.89,2.71,1.96,0.28,1.95,2.05
PRECTOTCORR,2000,41.0,33.125,2.71,1.43,1.85,2.95,1.24,2.87,0.49,2.49,2.24,1.72,0.29,1.82,1.84
PRECTOTCORR,2000,41.0,33.75,1.96,1.13,1.21,2.92,1.59,2.19,0.22,1.69,0.86,1.22,0.23,1.21,1.37
PRECTOTCORR,2000,41.0,34.375,1.92,1.27,1.05,2.76,1.79,1.98,0.12,1.72,0.56,1.14,0.2,1.04,1.3
PRECTOTCORR,2000,41.0,35.0,2.29,1.8,1.05,2.47,2.07,1.73,0.06,1.64,0.53,1.08,0.18,1.17,1.34
PRECTOTCORR,2000,41.0,35.625,2.74,2.39,1.08,2.24,2.43,1.4,0.01,1.3,0.42,1.01,0.14,1.33,1.37
PRECTOTCORR,2000,41.0,36.25,3.46,2.98,1.26,2.32,2.72,1.16,0.03,1.02,0.56,1.16,0.11,1.5,1.52
PRECTOTCORR,2000,41.5,32.5,4.64,2.02,2.98,2.43,1.09,4.35,0.66,4.85,5.32,3.27,0.29,2.9,2.9
PRECTOTCORR,2000,41.5,33.125,3.67,1.59,2.49,2.48,1.25,3.61,0.48,3.72,3.7,2.83,0.25,2.38,2.37
