-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,39.0,25.625,9.0,11.1,11.84,15.64,18.54,21.76,24.27,24.0,21.79,17.9,16.82,13.57,17.2
T2M,2000,39.0,26.25,6.29,9.07,10.47,15.81,19.18,22.99,26.21,25.19,22.21,17.11,15.54,11.54,16.82
T2M,2000,39.0,26.875,5.03,7.77,9.35,15.5,18.76,22.86,26.54,25.31,22.21,16.69,14.84,10.27,16.28
T2M,2000,39.0,27.5,0.85,4.29,6.48,14.0,17.39,22.42,27.31,25.75,21.86,15.12,12.59,6.64,14.58
T2M,2000,39.0,28.125,-0.84,2.76,5.25,12.82,16.15,21.29,26.3,25.2,21.04,14.37,11.92,5.22,13.48
T2M,2000,39.0,28.75,-2.9,0.81,3.48,11.16,14.29,19.17,24.48,23.38,19.22,12.72,10.22,3.12,11.62
T2M,2000,39.0,29.375,-4.44,-0.41,2.16,10.26,13.04,17.96,23.38,21.59,17.92,11.47,8.8,1.98,10.33
T2M,2000,39.0,30.0,-5.77,-1.24,1.47,9.81,12.35,17.16,22.51,20.26,16.81,10.37,7.69,1.04,9.39
T2M,2000,39.0,30.625,-6.23,-1.45,1.75,9.99,12.32,17.12,22.53,19.99,16.55,9.95,7.31,0.62,9.22
T2M,2000,39.5,25.625,8.01,10.34,11.17,15.31,18.22,21.77,24.67,24.16,21.57,17.33,16.18,12.76,16.81
T2M,2000,39.5,26.25,5.17,8.26,9.66,15.31,18.6,22.72,26.29,24.89,21.75,16.41,14.78,10.61,16.22
T2M,2000,39.5,26.875,2.56,5.72,7.56,14.32,17.53,21.76,25.98,23.94,21.02,14.97,13.15,8.36,14.76
T2M,2000,39.5,27.5,-0.12,3.22,5.44,13.15,15.79,20.02,24.95,22.99,19.98,13.49,11.51,5.95,13.05
T2M,2000,39.5,28.125,-0.65,2.82,5.34,13.15,15.84,20.16,25.11,23.35,19.97,13.58,11.74,5.53,13.01
T2M,2000,39.5,28.75,-3.14,0.6,3.31,11.33,13.88,18.13,23.27,21.58,18.22,12.01,9.93,3.43,11.07
T2M,2000,39.5,29.375,-4.58,-0.35,2.45,10.66,13.14,17.85,23.33,21.07,17.83,11.54,9.1,2.37,10.39
T2M,2000,39.5,30.0,-5.99,-1.01,1.79,10.14,12.48,17.17,22.53,19.92,16.85,10.62,8.02,1.4,9.51
T2M,2000,39.5,30.625,-6.04,-1.02,2.13,10.42,12.52,17.12,22.48,20.16,16.8,10.41,7.78,0.96,9.5
T2M,2000,40.0,25.625,6.39,9.19,10.19,15.09,18.43,22.51,25.75,24.95,21.82,16.77,15.41,11.45,16.51
T2M,2000,40.0,26.25,4.12,7.38,8.72,14.7,17.98,22.44,26.29,24.75,21.34,15.77,14.13,9.64,15.62
T2M,2000,40.0,26.875,0.28,4.06,6.02,13.25,16.31,20.76,25.69,23.23,20.34,13.57,11.86,6.62,13.52
T2M,2000,40.0,27.5,0.59,4.05,6.14,13.46,16.22,20.36,25.25,23.12,20.51,14.04,12.19,6.9,13.59
T2M,2000,40.0,28.125,0.71,4.16,6.46,14.16,16.79,20.86,25.74,23.79,20.68,14.42,12.69,6.89,13.96
T2M,2000,40.0,28.75,-1.47,2.45,4.93,12.94,15.31,19.27,24.32,22.35,19.21,13.23,11.6,5.22,12.47
T2M,2000,40.0,29.375,-4.93,-0.13,2.36,10.54,12.63,16.5,21.79,19.46,16.7,10.91,8.98,2.61,9.8
T2M,2000,40.0,30.0,-4.57,0.59,3.39,11.64,13.73,17.86,23.14,20.6,17.68,11.82,9.67,2.96,10.73
T2M,2000,40.0,30.625,-5.35,-0.1,3.07,11.43,13.56,17.89,23.09,20.76,17.42,11.48,8.89,1.86,10.35
T2M,2000,40.5,25.625,5.87,8.75,9.65,14.7,18.27,22.6,25.44,25.2,21.61,16.59,15.17,10.75,16.23
T2M,2000,40.5,26.25,4.36,7.61,8.75,14.5,18.06,22.64,26.29,25.02,21.4,15.91,14.36,9.69,15.73
T2M,2000,40.5,26.875,3.16,6.2,7.68,14.28,17.76,22.46,26.8,24.9,21.74,15.68,13.79,8.94,15.3
T2M,2000,40.5,27.5,3.44,5.94,7.48,14.05,17.27,21.57,25.94,24.49,21.88,15.99,14.05,9.16,15.12
T2M,2000,40.5,28.125,3.99,6.01,7.57,13.85,16.89,20.93,25.09,24.12,21.83,16.31,14.41,9.55,15.07
T2M,2000,40.5,28.75,3.04,5.48,7.17,13.71,16.43,20.23,24.65,23.55,21.04,15.71,13.95,8.79,14.5
T2M,2000,40.5,29.375,0.32,3.83,5.91,13.52,15.71,19.13,24.18,22.53,19.49,13.97,12.31,6.49,13.13
T2M,2000,40.5,30.0,-2.24,1.93,4.22,12.51,14.24,17.71,22.67,20.81,17.73,12.42,10.48,4.1,11.4
T2M,2000,40.5,30.625,-4.07,0.46,2.96,11.47,13.29,17.03,21.78,19.57,16.6,11.29,9.06,2.63,10.19
T2M,2000,41.0,25.625,1.03,5.47,7.07,14.2,18.25,23.49,27.12,25.74,20.18,14.16,12.45,6.6,14.66
T2M,2000,41.0,26.25,0.7,5.12,6.84,14.04,17.98,23.27,27.72,25.33,20.38,13.96,12.31,6.67,14.55
T2M,2000,41.0,26.875,-0.43,4.08,5.89,13.28,16.65,22.09,27.39,24.45,20.09,13.34,11.7,6.05,13.73
T2M,2000,41.0,27.5,1.45,4.83,6.56,13.63,16.72,21.45,26.22,24.17,20.78,14.56,12.71,7.56,14.24
T2M,2000,41.0,28.125,3.15,5.5,6.98,13.43,16.38,20.67,24.88,23.98,21.02,15.57,13.56,8.82,14.51
